ID,Ministerie van,Pand,Eigendom/ Huur,Onderhouds status 2020,Gebruiks status 2020,District,Adres,Afdeling/diensten/activiteit,update datum
3,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,Dependance Albina,Bruikleen,Redelijk,in gebruik,Albina,Luitenant  Weyneweg  25,"E.C.D. W&Y, IUD, Ondernemerschap",8-Aug-20
93,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,C.G. Amsterdam,Eigendom,Renovatie,,Amsterdam,"Ambasade, De Cuserstraat 11, 1081 CK Amsterdam (Kanselarij)",Onbekend,13-Aug-20
100,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb. Bejing,Gehuurd,,in gebruik,Beijing,"Jianguomenwai Diplomatic Compound Office: 2-2-22 P.O.Box, 10600-9076 Jianguomenwai (Kanselarij)",Onbekend,13-Aug-20
105,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,C.G. Belem,Gehuurd,,in gebruik,Belem,"Avenida Governador Jose Malchar 108, Bairro: Nazare Belem (Kanselarij)",Onbekend,13-Aug-20
103,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb. Brasilia,Gehuurd,,in gebruik,Brasilia,"Shis Q.I. 09 Conjunto 08 Casa 24, Lago Sul, Brasilia- DF, CEP: 71.625.80 (Kanselarij)",Onbekend,13-Aug-20
104,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb . Brasilia,Eigendom,Renovatie,in gebruik,Brasilia,"Shis Q.I. 12 Conjunto 2 Casa 6, Lago Sul Residentie",Onbekend,13-Aug-20
1,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,Dependance Atjoni,Bruikleen,Redelijk,in gebruik,Brokopondo,Commissariaat Sipaliwini,E.C.D. W&Y en Ondernemerschap,8-Aug-20
2,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,Dependance Brokopondo,Bruikleen,Redelijk,in gebruik,Brokopondo,Aloesoebanjaweg 1,Ondernemerschap,8-Aug-20
3,GRONDBELEID EN BOSBEHEER,Brownsweg,Eigendom van de Staat,Slecht,leegstaand,Brokopondo,Secrepatoe,Buitenposten (Jachtopzieners),17-Aug-20
4,BINNENLANDSE ZAKEN,BVB Brokopondo,Geb Min RO,Redelijk,in gebruik,Brokopondo,Brokopondo Centrum,Diverse diensten CBB,20-Aug-20
